a1 0xbf00020020508900
a2 0x5610800041000080
a3 0x200420000804401
a4 0x4100410200008044
a5 0x8000408042000401
a6 0x100740080520001
a7 0x1001408104004200
a8 0x208040210402
b1 0x80020001000080
b2 0x5081000402000100
b3 0x2009008080020001
b4 0x205000100020004
b5 0x800100800200
b6 0x278010002008080
b7 0x28800100020080
b8 0x80420091103804
c1 0x80040002008001
c2 0x4000808004000200
c3 0x2214008080020004
c4 0x1000040080020080
c5 0x4010040080800200
c6 0x201000804010002
c7 0x8a08040080020080
c8 0x8027000802040001
d1 0x4600088410020020
d2 0x1000800400800800
d3 0x200808004000800
d4 0x40080800800
d5 0x1111000801001005
d6 0x10040008008080
d7 0x800400080080
d8 0xd426002010040802
e1 0x80080080100005
e2 0x100100100200c
e3 0x1008210010010008
e4 0x180100080800800
e5 0x90021001000
e6 0xa0201001010008
e7 0x3040080080100080
e8 0x490a000840200412
f1 0x1100102000090040
f2 0x281002001004010
f3 0x808010002000
f4 0x2000100080802000
f5 0x40802000801000
f6 0x200041010010
f7 0x11002000104100
f8 0x1008200810420082
g1 0x40002000100040
g2 0x808020004000
g3 0xa150004040002004
g4 0x4010004040002010
g5 0x90002002400448
g6 0xc841004200820020
g7 0x200080400080
g8 0x1000400081002011
h1 0x4880008040001020
h2 0x1001800082400021
h3 0x808000400020
h4 0x2440002080004080
h5 0x880002000400040
h6 0x8001402000c010
h7 0xc080002000400040
h8 0x8204208108102
