a1 0x300405800882010
a2 0x80020201010862
a3 0x322201040208
a4 0x84282000820100
a5 0x1018010024050085
a6 0x244908a00402200
a7 0xc02100400808001
a8 0x10040100440100
b1 0x100942420048421
b2 0x40020104600480
b3 0x2212000092100300
b4 0x2004008004220100
b5 0x4800a0804c0208
b6 0x802881204060084
b7 0x308600800810000
b8 0xc31404214090200
c1 0x882080208088206
c2 0x481042404400001
c3 0x80208410080800
c4 0x2008008080104
c5 0x2050500040008040
c6 0x8890011001002020
c7 0x200404182200
c8 0x4000408100108
d1 0x4042000048084
d2 0x9401040422041060
d3 0x441020820080a00
d4 0x4001001001004000
d5 0x4404040400001010
d6 0x480040408210404
d7 0x42001082020800
d8 0x4006110202204
e1 0x4008205040100100
e2 0x582080602480412
e3 0x402002020204000
e4 0x802088020020
e5 0x1040400080210
e6 0x1910004010440200
e7 0x201c089042022000
e8 0x490c4000020a0200
f1 0xa044400a2010040
f2 0x5200080084008800
f3 0x8001000808010010
f4 0x4100081010020
f5 0x60108010002040a
f6 0x600084050104800
f7 0x4110004404040402
f8 0x8620000101883400
g1 0x300208b4008004
g2 0x100468108021
g3 0x20000802140860
g4 0x10040802440400
g5 0x6844024808823000
g6 0x100941002600844
g7 0x1040082880000
g8 0x2060090901100200
h1 0x240810202020022
h2 0x4900044404480208
h3 0x20c0001002220422
h4 0x1202100040108202
h5 0x8048044020050900
h6 0x202108400c008
h7 0x140480410082888
h8 0x2000120090041001
